,ссылка,цена,агенство,общая площадь,жилая площадь,этаж,всего этажей,Дети,холодильник,посудомойка,стиральная машина,мебель в комнатах,мебель на кухне,телевизор,интернет,кондиционер,душ,ванна,район,улица
138,https://mahachkala.cian.ru/rent/flat/287333122/,2500,Собственник,58.0,12.0,3,10,1,1,0,1,1,1,1,1,1,0,1,0,просп.Акулиничева
139,https://mahachkala.cian.ru/rent/flat/276597159/,2500,Собственник,50.0,25.0,1,3,1,1,0,1,1,1,1,1,1,1,0, Советский,Солдатская
140,https://mahachkala.cian.ru/rent/flat/286609288/,3000,Собственник,50.0,0.0,6,10,1,1,0,1,1,1,1,1,1,0,1,0,Ленина
141,https://mahachkala.cian.ru/rent/flat/285037058/,3000,Собственник,70.0,20.0,8,9,1,1,0,1,1,1,1,1,1,0,1, Советский,АбдулхакимаИсмаилова
142,https://mahachkala.cian.ru/rent/flat/284769039/,4000,Собственник,58.0,58.0,9,10,1,1,0,1,1,1,1,1,1,1,0,0,М.Халилова
143,https://mahachkala.cian.ru/rent/flat/286085099/,6000,Собственник,74.0,0.0,6,10,1,1,1,1,1,1,1,1,1,1,0,0,М.Халилова
146,https://mahachkala.cian.ru/rent/flat/287245400/,2000,Собственник,73.0,0.0,10,11,1,1,0,1,1,1,1,1,0,0,1, Советский,Газопроводная
147,https://mahachkala.cian.ru/rent/flat/287217129/,2000,Собственник,50.0,30.0,1,9,1,1,0,1,1,1,0,0,0,0,0, Ленинский,Лаптиева
148,https://mahachkala.cian.ru/rent/flat/286892765/,2000,0,43.6,12.0,4,9,1,1,0,1,1,1,1,1,1,0,1,0,М.Халилова
149,https://mahachkala.cian.ru/rent/flat/287140651/,2000,0,46.0,0.0,3,5,1,1,0,1,1,1,1,0,1,0,1, Ленинский,0
150,https://mahachkala.cian.ru/rent/flat/287155842/,2000,Собственник,43.0,32.0,1,5,1,1,0,1,1,1,0,1,1,0,1,0,Ленина
151,https://mahachkala.cian.ru/rent/flat/277226003/,2500,Собственник,43.0,0.0,2,10,1,1,0,1,1,1,0,1,1,1,0,0,Приморская
152,https://mahachkala.cian.ru/rent/flat/286866124/,2500,Собственник,54.0,0.0,5,9,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Габитова
153,https://mahachkala.cian.ru/rent/flat/285465346/,2500,Собственник,70.0,0.0,4,5,1,1,0,1,1,1,1,1,1,0,0,0,Байрамова
154,https://mahachkala.cian.ru/rent/flat/284304054/,2500,Собственник,51.0,0.0,5,12,1,1,0,1,1,1,1,1,1,0,1,0,просп.Акулиничева
155,https://mahachkala.cian.ru/rent/flat/286624741/,2500,Собственник,55.0,0.0,12,14,1,1,0,1,1,1,1,1,1,0,1,0,0
156,https://mahachkala.cian.ru/rent/flat/287139076/,2500,Собственник,45.0,15.0,10,10,1,1,0,1,1,1,1,1,0,0,1, Ленинский,Бейбулатова
158,https://mahachkala.cian.ru/rent/flat/280332910/,2800,Собственник,50.0,0.0,1,6,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Гапцахская
159,https://mahachkala.cian.ru/rent/flat/285244096/,3000,Собственник,55.0,0.0,4,10,1,1,0,1,1,1,1,1,1,1,0,0,Кавказская
160,https://mahachkala.cian.ru/rent/flat/286668337/,3000,Собственник,63.0,14.0,7,10,1,1,0,1,1,1,1,1,1,0,1,0,0
161,https://mahachkala.cian.ru/rent/flat/287248550/,3000,Собственник,67.0,0.0,3,9,1,1,0,1,1,1,0,0,0,0,0,0,Кизилюртовская
162,https://mahachkala.cian.ru/rent/flat/287167728/,3000,Собственник,56.0,20.0,6,10,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Гапцахская
163,https://mahachkala.cian.ru/rent/flat/287152434/,3000,Собственник,47.0,35.0,5,9,1,1,0,1,1,1,1,1,1,1,1, Ленинский,0
164,https://mahachkala.cian.ru/rent/flat/286752567/,3000,Собственник,53.0,0.0,3,9,1,1,0,1,1,1,1,1,1,1,0, Ленинский,Губденская
165,https://mahachkala.cian.ru/rent/flat/285772401/,3000,Собственник,52.0,0.0,6,11,1,1,0,1,1,1,0,0,0,0,0, Советский,Хизроева
166,https://mahachkala.cian.ru/rent/flat/287173155/,3000,Собственник,56.0,20.0,5,11,1,1,0,1,1,1,1,1,1,1,1,0,0
167,https://mahachkala.cian.ru/rent/flat/286737829/,3000,Собственник,85.0,15.0,2,12,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Мекегинская
168,https://mahachkala.cian.ru/rent/flat/287316918/,3000,Собственник,80.0,0.0,7,9,1,1,0,1,1,1,1,1,1,0,1, Советский,АбдулхакимаИсмаилова
170,https://mahachkala.cian.ru/rent/flat/287135665/,3500,Собственник,58.0,0.0,7,14,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Гапцахская
171,https://mahachkala.cian.ru/rent/flat/287156541/,3500,Собственник,64.0,0.0,7,10,1,1,0,1,1,1,1,1,1,0,1,0,Байрамова
172,https://mahachkala.cian.ru/rent/flat/287222867/,3500,Собственник,75.0,0.0,2,8,1,1,0,1,1,1,1,1,1,1,0, Ленинский,Тукитинская
173,https://mahachkala.cian.ru/rent/flat/285040833/,3500,Собственник,98.0,0.0,5,6,1,1,0,1,1,1,1,1,1,1,1,0,Советская
174,https://mahachkala.cian.ru/rent/flat/284133123/,4000,0,70.0,0.0,7,7,0,1,0,1,1,1,1,1,1,0,1, Ленинский,просп.РасулаГамзатова
175,https://mahachkala.cian.ru/rent/flat/275860618/,4000,Собственник,103.0,0.0,1,13,1,1,0,1,1,1,1,1,1,0,0,0,Кавказская
176,https://mahachkala.cian.ru/rent/flat/286091003/,4000,Собственник,76.0,12.0,8,10,1,1,0,1,1,1,1,1,1,0,1,0,М.Халилова
177,https://mahachkala.cian.ru/rent/flat/286891702/,5000,Собственник,75.0,0.0,4,5,1,1,1,1,1,1,1,1,1,1,0,0,С.Стальского
178,https://mahachkala.cian.ru/rent/flat/287215876/,5000,Собственник,103.0,0.0,3,10,1,1,0,1,1,1,1,0,1,0,1, Советский,Танкаева
